9512, Acme Corporation, 123 Main St, 205-288-8591, info@acme-corp.com
8642, Xerox Inc., 456 High St, 505-398-8414, info@xrx.com
3579, RedPark Ltd., 789 Park Ave, 604-683-2555, info@redpark.ca
7890, Samsung, 456 Seoul St, 909-763-4442, support@samsung.com
7671, LG Electronics, 789 Busan St, 668-286-5378, support@lge.kr
9876, Toshiba, 246 Osaka St, 90-6378-0835, support@toshiba.co.jp
3456, Panasonic, 246 Osaka St, 443-887-9967, support@panasonic.co.jp
8765, Philips, 789 Amsterdam St, 61-483-898-670, support@philips.au
1357, Sharp, 123 Tokyo St, 80-4745-3107, support@sharp.co.jp
9144, Fujitsu, 456 Tokyo St, 03-3556-7890, support@fujitsu.co.jp
8655, Dell, 246 Austin St, 505-351-3181, support@dell.com
3592, IBM, 456 New York St, 201-335-9423, support@ibm.com
7084, Acer, 135 Taipei St, 905-926-031, support@acer.tw
2345, MSI, 789 Mofan St, 943-299-465, support@msi.tw
6954, Apple, 246 Cupertino St, 202-918-2132, support@apple.com
9794, Amazon, 246 Seattle St, 555-343-8950, support@amazon.com
8692, Microsoft, 123 Redmond St, 505-549-0420, support@microsoft.com
7807, Intel, 2200 Mission College Blvd, 408-646-7611, support@intel.com
8672, AMD, 246 Santa Clara St, 312-866-2043, support@amd.com
4567, Qualcomm, 456 San Diego St, 44-7700-087231, info@qualcomm.co.uk
